UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_Encoded,Failure_Heat Dissipation Failure,Failure_No Failure,Failure_Overstrain Failure,Failure_Power Failure,Failure_Random Failures,Failure_Tool Wear Failure,Tool_Wear_Bin,RPM_Bin
1,M14860,M,298.1,308.6,1551.0,42.8,0,0,2,False,True,False,False,False,False,Low,Medium
2,L47181,L,298.2,308.7,1408.0,46.3,3,0,1,False,True,False,False,False,False,Low,Medium
3,L47182,L,298.1,308.5,1498.0,49.4,5,0,1,False,True,False,False,False,False,Low,Medium
4,L47183,L,298.2,308.6,1433.0,39.5,7,0,1,False,True,False,False,False,False,Low,Medium
5,L47184,L,298.2,308.7,1408.0,40.0,9,0,1,False,True,False,False,False,False,Low,Medium
6,M14865,M,298.1,308.6,1425.0,41.9,11,0,2,False,True,False,False,False,False,Low,Medium
7,L47186,L,298.1,308.6,1558.0,42.4,14,0,1,False,True,False,False,False,False,Low,Medium
8,L47187,L,298.1,308.6,1527.0,40.2,16,0,1,False,True,False,False,False,False,Low,Medium
9,M14868,M,298.3,308.7,1667.0,28.6,18,0,2,False,True,False,False,False,False,Low,High
10,M14869,M,298.5,309.0,1741.0,28.0,21,0,2,False,True,False,False,False,False,Low,High
11,H29424,H,298.4,308.9,1782.0,23.9,24,0,0,False,True,False,False,False,False,Low,High
12,H29425,H,298.6,309.1,1423.0,44.3,29,0,0,False,True,False,False,False,False,Low,Medium
13,M14872,M,298.6,309.1,1339.0,51.1,34,0,2,False,True,False,False,False,False,Low,Low
14,M14873,M,298.6,309.2,1742.0,30.0,37,0,2,False,True,False,False,False,False,Low,High
15,L47194,L,298.6,309.2,1895.5,19.6,40,0,1,False,True,False,False,False,False,Low,High
16,L47195,L,298.6,309.2,1542.0,48.4,42,0,1,False,True,False,False,False,False,Low,Medium
17,M14876,M,298.6,309.2,1311.0,46.6,44,0,2,False,True,False,False,False,False,Low,Low
18,M14877,M,298.7,309.2,1410.0,45.6,47,0,2,False,True,False,False,False,False,Low,Medium
19,H29432,H,298.8,309.2,1306.0,54.5,50,0,0,False,True,False,False,False,False,Low,Low
20,M14879,M,298.9,309.3,1632.0,32.5,55,0,2,False,True,False,False,False,False,Medium,High
21,H29434,H,298.9,309.3,1375.0,42.7,58,0,0,False,True,False,False,False,False,Medium,Low
22,L47201,L,298.8,309.3,1450.0,44.8,63,0,1,False,True,False,False,False,False,Medium,Medium
23,M14882,M,298.9,309.3,1581.0,30.7,65,0,2,False,True,False,False,False,False,Medium,Medium
24,L47203,L,299.0,309.4,1758.0,25.7,68,0,1,False,True,False,False,False,False,Medium,High
25,M14884,M,299.0,309.4,1561.0,37.3,70,0,2,False,True,False,False,False,False,Medium,Medium
26,L47205,L,299.0,309.5,1861.0,23.3,73,0,1,False,True,False,False,False,False,Medium,High
27,L47206,L,299.1,309.5,1512.0,39.0,75,0,1,False,True,False,False,False,False,Medium,Medium
28,H29441,H,299.1,309.4,1811.0,24.6,77,0,0,False,True,False,False,False,False,Medium,High
29,L47208,L,299.1,309.4,1439.0,44.2,82,0,1,False,True,False,False,False,False,Medium,Medium
30,L47209,L,299.0,309.4,1693.0,30.1,84,0,1,False,True,False,False,False,False,Medium,High
31,M14890,M,299.1,309.5,1339.0,48.2,86,0,2,False,True,False,False,False,False,Medium,Low
32,L47211,L,299.0,309.4,1798.0,25.5,89,0,1,False,True,False,False,False,False,Medium,High
33,L47212,L,299.0,309.4,1419.0,48.3,91,0,1,False,True,False,False,False,False,Medium,Medium
34,L47213,L,298.9,309.3,1665.0,32.5,93,0,1,False,True,False,False,False,False,Medium,High
35,M14894,M,298.8,309.1,1559.0,34.7,95,0,2,False,True,False,False,False,False,Medium,Medium
36,M14895,M,298.8,309.2,1452.0,48.6,98,0,2,False,True,False,False,False,False,Medium,Medium
37,M14896,M,298.9,309.2,1581.0,36.7,101,0,2,False,True,False,False,False,False,Medium,Medium
38,L47217,L,298.8,309.1,1439.0,39.2,104,0,1,False,True,False,False,False,False,Medium,Medium
39,H29452,H,298.9,309.2,1379.0,50.7,106,0,0,False,True,False,False,False,False,Medium,Low
40,L47219,L,298.8,309.1,1350.0,52.5,111,0,1,False,True,False,False,False,False,Medium,Low
41,L47220,L,298.8,309.1,1362.0,45.4,113,0,1,False,True,False,False,False,False,Medium,Low
42,L47221,L,298.8,309.1,1368.0,50.8,115,0,1,False,True,False,False,False,False,Medium,Low
43,M14902,M,298.8,309.1,1368.0,49.1,117,0,2,False,True,False,False,False,False,Medium,Low
44,H29457,H,298.8,309.2,1372.0,48.5,120,0,0,False,True,False,False,False,False,Medium,Low
45,M14904,M,298.8,309.1,1472.0,47.5,125,0,2,False,True,False,False,False,False,Medium,Medium
46,L47225,L,298.8,309.1,1489.0,49.1,128,0,1,False,True,False,False,False,False,Medium,Medium
47,M14906,M,298.7,309.0,1843.0,25.8,130,0,2,False,True,False,False,False,False,Medium,High
48,L47227,L,298.8,309.1,1418.0,46.3,133,0,1,False,True,False,False,False,False,Medium,Medium
49,H29462,H,298.8,309.2,1425.0,53.9,135,0,0,False,True,False,False,False,False,Medium,Medium
50,M14909,M,298.9,309.2,1412.0,44.1,140,0,2,False,True,False,False,False,False,Medium,Medium
51,L47230,L,298.9,309.1,1895.5,12.800000000000011,143,1,1,False,False,False,True,False,False,Medium,High
52,L47231,L,298.9,309.1,1383.0,54.9,145,0,1,False,True,False,False,False,False,Medium,Low
53,H29466,H,298.8,309.0,1497.0,43.8,147,0,0,False,True,False,False,False,False,Medium,Medium
54,L47233,L,298.7,309.0,1565.0,35.1,152,0,1,False,True,False,False,False,False,High,Medium
55,L47234,L,298.7,309.0,1691.0,30.1,154,0,1,False,True,False,False,False,False,High,High
56,L47235,L,298.8,309.1,1512.0,40.7,156,0,1,False,True,False,False,False,False,High,Medium
57,L47236,L,298.8,309.1,1477.0,42.4,158,0,1,False,True,False,False,False,False,High,Medium
58,L47237,L,298.8,309.1,1513.0,40.3,160,0,1,False,True,False,False,False,False,High,Medium
59,M14918,M,298.8,309.0,1661.0,29.5,162,0,2,False,True,False,False,False,False,High,High
60,L47239,L,298.8,309.1,1378.0,54.4,165,0,1,False,True,False,False,False,False,High,Low
61,L47240,L,298.8,309.1,1393.0,52.6,167,0,1,False,True,False,False,False,False,High,Low
62,M14921,M,298.8,309.0,1592.0,38.2,169,0,2,False,True,False,False,False,False,High,Medium
63,L47242,L,298.8,309.0,1829.0,22.9,172,0,1,False,True,False,False,False,False,High,High
64,M14923,M,298.9,309.0,1812.0,25.9,174,0,2,False,True,False,False,False,False,High,High
65,L47244,L,299.0,309.1,1523.0,38.6,177,0,1,False,True,False,False,False,False,High,Medium
66,L47245,L,299.0,309.1,1394.0,45.1,179,0,1,False,True,False,False,False,False,High,Low
67,M14926,M,298.9,308.9,1679.0,28.7,181,0,2,False,True,False,False,False,False,High,High
68,H29481,H,298.8,308.9,1466.0,44.1,184,0,0,False,True,False,False,False,False,High,Medium
69,L47248,L,298.8,308.9,1527.0,32.4,189,0,1,False,True,False,False,False,False,High,Medium
70,L47249,L,298.9,309.0,1410.0,65.7,191,1,1,False,False,False,True,False,False,High,Medium
71,M14930,M,298.9,309.0,1895.5,22.6,193,0,2,False,True,False,False,False,False,High,High
72,L47251,L,298.9,309.1,1452.0,45.5,196,0,1,False,True,False,False,False,False,High,Medium
73,L47252,L,298.9,309.1,1369.0,44.4,198,0,1,False,True,False,False,False,False,High,Low
74,L47253,L,299.0,309.1,1592.0,35.0,200,0,1,False,True,False,False,False,False,High,Medium
75,L47254,L,298.9,309.0,1601.0,32.3,202,0,1,False,True,False,False,False,False,High,High
